OK	F0	F1	F2	F3	F4
fit_H3K79me2	1	0.0943549494536401	5.3876163829024	0.021914664643202	0.509049939087601	0.925666363218942
fit_H3K9ac	1	0.357263818251552	4.45458612045267	0.0247682537005999	0.335237216247683	0.851368125943484
fit_H4K20me1	1	0.0583956476526179	1.94887686158527	0.0820151498192401	0.144925492329456	0.563666144496943
fit_HCFC1	1	0.535891758641919	5.98977139750193	0.0019000022773668	0.340983513406775	0.984828362218521
fit_HDAC1	1	0.307011366497845	1.86606384758903	0.00798541709972977	0.0575235494735357	0.741623738288445
fit_INI1	1	0.402127649852402	2.06850796719242	0.0148908777892292	0.161986641397214	0.68070028465256
fit_JUNB	1	0.698081162241643	3.16785598632262	0.00250297147913036	0.136652969010746	0.80773228323666
fit_JUND	1	0.584971483913548	1.8603371418432	0.0120742111467899	0.059392151093746	0.547253772296598
fit_KAP1	1	0.500429093536993	3.62715079479378	0.00444697054492542	0.0557233932557376	0.727793183779174
fit_MAFK	1	0.549795644770003	3.86035673812934	0.00284583631934885	0.1664468838198	0.914975951260382
fit_MAX	1	0.456430011343878	3.19578559221981	0.013424835024157	0.105713662716992	0.658492434402822
fit_MAZ	1	0.475335407932537	3.65927942273293	0.00688753248276106	0.341083283044505	0.909862417653078
fit_MEF2A	1	0.685474509220961	3.29298188446437	0.00248242672330042	0.0902700744683236	0.860359459104967
fit_MXI1	1	0.531098731604694	2.75036272111454	0.00161286024187574	0.118490895514335	0.867271732162917
fit_NF.E2	1	0.536442982384133	7.50060549703369	0.00097955845249534	0.105892527460312	0.873139692074723
fit_NF.YA	1	0.682655199581793	11.3977484480205	0.000750174315469571	0.202482993861387	0.954121783981765
fit_NF.YB	1	0.56619931001187	23.4032289315495	0.00199041858486365	0.33761532575547	0.897850854486901
fit_NR2F2	1	0.29515675814002	2.65693851709062	0.0278670230987985	0.277848372129593	0.840767237775481
fit_NRF1	1	0.376357839991732	4.58295278900468	0.000476890299241152	0.116751062512468	0.947852632563657
fit_NRSF	1	0.514070716741624	6.67567732310126	0.0054943654553498	0.219547519598981	0.924030244603662
fit_P300..47.EP300	1	0.62305902308367	3.35524476456954	0.00355375821245119	0.27365198067469	0.740419867063219
fit_PHF8	1	0.313824883423328	8.17747995770858	0.00419122709853294	0.631346854904073	0.958000956054761
fit_PML	1	0.284858416293041	2.87522016075558	0.0144752341205754	0.239197800122008	0.839848019640676
fit_POL2	1	0.261945216558016	2.21374710017054	0.0198682325259341	0.121263334620229	0.1239580015288
fit_PU.1	1	0.695251667424378	4.58157044656158	0.00595943282906618	0.183528521547188	0.873169780022469
fit_RAD21	1	0.464617049917317	6.0955997687592	0.00456093579424621	0.25290494863085	0.689347485981855
fit_RBBP5	1	0.300983545177568	3.18910008707519	0.00632749406794403	0.133171301340867	0.70341784016004
fit_RCOR1..47.COREST	1	0.554858691194471	3.77836246531358	0.0155083833748347	0.397054507908111	0.903130924954609
fit_RFX5	1	0.616325561065553	12.4983400315368	0.000124625264138208	0.081431690949887	0.94800415760195
fit_RPC155	1	0.462275637569844	53.0215741614087	0.000209227018098282	0.210897582524802	0.946113305248254
fit_SETDB1	1	0.390992488326625	2.5125472341018	0.0124211461744841	0.0809381684647426	0.730432058878227
fit_SIN3AK20	1	0.323287269052644	2.57101505578863	0.00507174432245188	0.128195396340349	0.823174412348263
fit_SIX5	1	0.672675760341142	5.5137531129532	0.0006108188490382	0.0959113684461849	0.920611267197555
fit_SP1	1	0.616557603316482	3.09091250042388	0.00146536440049288	0.0940856508107366	0.840274956770801
fit_SP2	1	0.662103344840414	7.00959430250953	0.000513231258845995	0.140375303259703	0.950046495709507
fit_SRF	1	0.695753705085769	2.67589370158869	0.00226612533173239	0.0610324080829787	0.87218748378873
fit_STAT1	1	0.523836404508327	2.05330187141361	0.0070664269132425	0.0767261556573809	0.737800118444286
fit_STAT2	1	0.664862979926835	9.37894514425939	0.000191395720585506	0.113519307435594	0.953767306360357
fit_STAT5A	1	0.629151688062907	2.50268306756475	0.00281763573469549	0.104474226467638	0.847933108190937
fit_TAF1	1	0.338969757225779	10.5731379225689	0.00441053267609497	0.42585035560365	0.888267368467497
fit_TAF7	1	0.463845608254342	3.50397627258216	0.00301009745676274	0.0976749492122337	0.839827976486602
fit_TAL1	1	0.474347929207267	6.06507440127508	0.00268777737237418	0.471753593323837	0.965278927932049
fit_TBLR1	1	0.587931235035573	2.44766472584039	0.00439376738006393	0.167795319710871	0.849600833050522
fit_TBP	1	0.455336558109206	5.54866169388953	0.00320323754340928	0.380944570899895	0.971048828626414
fit_TEAD4	1	0.415390558782935	3.38370163306306	0.0188482629263582	0.297800789210746	0.89295561339788
fit_TFIIIC.110	1	0.668112298546094	6.65133533994212	0.00128966797445667	0.100286228677506	0.868761426090381
fit_THAP1	1	0.459480142833891	3.15208692631834	0.00620548535289737	0.124633721016156	0.899806456035124
fit_TRIM28	1	0.413632059541501	2.71076598132727	0.0141233567223749	0.161416402644027	0.747549183438659
fit_UBTF	1	0.412630389299228	4.206344527049	0.00378081652806225	0.298561165494312	0.893722478805417
fit_USF1	1	0.663236207225057	7.73865535851879	0.00301038818443958	0.26216998575433	0.905485444401544
fit_USF2	1	0.768193981107744	5.23862813289031	0.000474079931698378	0.0550303604634683	0.95208436069178
fit_YY1	1	0.458564629287038	2.8458345152015	0.00446674002695046	0.0725294292815055	0.772067778017308
